2022-07-19T15:32:03
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061621.6125464 7001289F:109:CB97UANXX:1:2115:8571:71495/2	R2	-	-	+	-	-	0.457944
ERR2061621.6125465 7001289F:109:CB97UANXX:1:1211:14158:99555/1	R1	+	-	-	-	0.433628	-
ERR2061621.6125466 7001289F:109:CB97UANXX:1:1110:17726:31534/1	R1	+	-	-	-	0.457944	-
ERR2061621.6125467 7001289F:109:CB97UANXX:1:2302:4616:17887/1	R1	+	-	-	-	0.495327	-
ERR2061621.6125468 7001289F:109:CB97UANXX:1:1210:9862:32025/1	R1	-	+	+	-	0.000000	0.433628
ERR2061621.6125469 7001289F:109:CB97UANXX:1:1104:6355:72415/2	R2	-	-	+	-	-	0.446429
ERR2061621.6125470 7001289F:109:CB97UANXX:1:2314:21217:98047/2	R2	-	-	+	-	-	0.500000
ERR2061621.6125471 7001289F:109:CB97UANXX:1:2102:12057:56940/2	R2	-	-	+	-	-	0.446429
ERR2061621.6125472 7001289F:109:CB97UANXX:1:1202:13878:34758/2	R2	-	-	+	-	-	0.500000
ERR2061621.6125473 7001289F:109:CB97UANXX:1:2110:11960:100525/1	R1	-	+	+	-	0.200000	0.609756
ERR2061621.6125474 7001289F:109:CB97UANXX:1:1204:12105:25658/1	R1	+	-	-	+	0.446429	0.000000
ERR2061621.6125475 7001289F:109:CB97UANXX:1:1114:16004:52739/2	R2	-	-	+	-	-	0.000000
ERR2061621.6125476 7001289F:109:CB97UANXX:1:1312:20418:78343/1	R1	+	-	-	-	0.436364	-
ERR2061621.6125477 7001289F:109:CB97UANXX:1:1216:18448:58193/2	R2	-	-	+	-	-	0.387755
ERR2061621.6125478 7001289F:109:CB97UANXX:1:2304:7423:27348/2	R2	-	-	+	-	-	0.345455
ERR2061621.6125479 7001289F:109:CB97UANXX:1:2309:16192:75137/1	R1	+	-	-	-	0.000000	-
