2024-12-30T14:57:11
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061624.8861933 7001289F:109:CB97UANXX:2:2308:18500:20009/1	R1	+	-	+	-	0.500000	0.500000
ERR2061624.8861935 7001289F:109:CB97UANXX:2:2207:6678:63799/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861936 7001289F:109:CB97UANXX:2:2312:12580:84947/1	R1	-	+	-	+	0.383333	0.383333
ERR2061624.8861937 7001289F:109:CB97UANXX:2:1215:8718:67755/1	R1	+	-	+	-	0.471698	0.471698
ERR2061624.8861942 7001289F:109:CB97UANXX:2:2201:8441:15751/1	R1	+	-	+	-	0.417722	0.417722
ERR2061624.8861945 7001289F:109:CB97UANXX:2:1308:11272:95115/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861946 7001289F:109:CB97UANXX:2:1110:1783:38857/1	R1	+	-	+	-	0.504673	0.504673
ERR2061624.8861947 7001289F:109:CB97UANXX:2:2201:16713:32963/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861948 7001289F:109:CB97UANXX:2:2114:8846:49908/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861952 7001289F:109:CB97UANXX:2:2205:11758:19217/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861953 7001289F:109:CB97UANXX:2:2303:4563:46858/1	R1	+	-	+	-	0.798165	0.798165
ERR2061624.8861956 7001289F:109:CB97UANXX:2:1308:15878:24471/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861959 7001289F:109:CB97UANXX:2:2303:7786:58602/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861961 7001289F:109:CB97UANXX:2:1311:19240:89608/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861966 7001289F:109:CB97UANXX:2:2308:4042:29118/1	R1	+	-	+	-	0.540984	0.540984
ERR2061624.8861967 7001289F:109:CB97UANXX:2:1210:18610:5918/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861968 7001289F:109:CB97UANXX:2:2302:19951:31118/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861973 7001289F:109:CB97UANXX:2:2109:20783:87916/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861974 7001289F:109:CB97UANXX:2:1203:17903:28299/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861980 7001289F:109:CB97UANXX:2:2215:14458:84139/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861981 7001289F:109:CB97UANXX:2:1310:12229:12248/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861982 7001289F:109:CB97UANXX:2:1109:6740:94507/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.8861987 7001289F:109:CB97UANXX:2:2311:18226:90078/1	R1	+	-	+	-	0.891892	0.891892
ERR2061624.8861991 7001289F:109:CB97UANXX:2:1111:3483:43159/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861992 7001289F:109:CB97UANXX:2:1315:14548:57021/1	R1	+	-	+	-	0.045045	0.045045
ERR2061624.8861996 7001289F:109:CB97UANXX:2:2209:14194:67901/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8861997 7001289F:109:CB97UANXX:2:1302:11504:92229/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8861998 7001289F:109:CB97UANXX:2:2303:5447:47197/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8861999 7001289F:109:CB97UANXX:2:2306:20059:90944/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8862000 7001289F:109:CB97UANXX:2:2214:19522:85500/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8862001 7001289F:109:CB97UANXX:2:2304:12239:88945/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8862002 7001289F:109:CB97UANXX:2:1201:10355:36701/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8862003 7001289F:109:CB97UANXX:2:2113:17899:79350/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.8862005 7001289F:109:CB97UANXX:2:1113:18985:33567/1	R1	-	+	-	+	0.216216	0.216216
ERR2061624.8862006 7001289F:109:CB97UANXX:2:2204:10029:49649/1	R1	+	-	+	-	0.388235	0.388235
ERR2061624.8862008 7001289F:109:CB97UANXX:2:2104:12033:69679/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.8862009 7001289F:109:CB97UANXX:2:2301:15319:89774/1	R1	+	-	+	-	0.357798	0.357798
ERR2061624.8862010 7001289F:109:CB97UANXX:2:1101:16421:52717/1	R1	+	-	+	-	0.446429	0.446429
ERR2061624.8862011 7001289F:109:CB97UANXX:2:2309:19003:21246/1	R1	+	-	+	-	0.690141	0.690141
ERR2061624.8862012 7001289F:109:CB97UANXX:2:1208:12448:43058/1	R1	+	-	+	-	0.302752	0.302752
ERR2061624.8862013 7001289F:109:CB97UANXX:2:1313:14644:96058/1	R1	+	-	+	-	0.446429	0.446429
ERR2061624.8911553 7001289F:109:CB97UANXX:2:1208:6067:91109/1	R1	+	-	+	-	0.457944	0.457944
ERR2061624.9404423 7001289F:109:CB97UANXX:2:1213:13349:31319/1	R1	+	-	+	-	0.000000	0.000000
ERR2061624.9461451 7001289F:109:CB97UANXX:2:2312:20358:99362/1	R1	-	+	-	+	0.000000	0.000000
ERR2061624.10541003 7001289F:109:CB97UANXX:2:2304:14043:53418/1	R1	-	+	-	+	0.049180	0.049180
